,id_diet,tipe_diet,tipe_masakan,resep_masakan,kadar_protein,kadar_karbo,kadar_lemak,fitur_tfidf,segmentasi_kadar_protein,segmentasi_kadar_karbo,segmentasi_kadar_lemak
2748,4899,vegan,american,Vegan Pizza Snacks,85.06,73.15,89.7,vegan Vegan Pizza Snacks american,1,2,3
2750,4900,vegan,american,Unbelievable Vegan Mashed Potatoes,23.17,144.98,35.42,vegan Unbelievable Vegan Mashed Potatoes american,2,3,2
2752,4901,vegan,american,Vegan Champagne Truffles,36.43,187.43,149.5,vegan Vegan Champagne Truffles american,2,1,1
2753,4902,vegan,american,Animal-Style Patty Melts (Vegan),70.0,50.08,167.2,vegan Animal-Style Patty Melts (Vegan) american,3,2,1
2762,4903,vegan,american,Vegan Blt Sandwich,21.41,32.94,51.84,vegan Vegan Blt Sandwich american,2,2,2
2763,4904,vegan,american,Vegan Grits,3.98,41.13,28.01,vegan Vegan Grits american,0,2,0
2764,4905,vegan,american,Ultimate Loaded Grilled Vegan Blt,46.21,92.01,60.29,vegan Ultimate Loaded Grilled Vegan Blt american,3,3,2
2765,4906,vegan,american,Vegan Spaghetti,53.89,268.55,54.49,vegan Vegan Spaghetti american,3,1,2
2766,4907,vegan,american,Vegan Herb Butter,0.73,1.97,109.17,vegan Vegan Herb Butter american,0,0,3
2770,4908,vegan,american,Vegan Scallops With King Oyster Mushrooms,16.08,37.24,86.97,vegan Vegan Scallops With King Oyster Mushrooms american,0,2,3
2773,4909,vegan,american,Vegan-Friendly Chocolate Bites,27.1,176.27,136.12,vegan Vegan-Friendly Chocolate Bites american,2,1,1
2774,4910,vegan,american,Strawberry Rhubarb Jam {Vegan},2.48,155.82,22.73,vegan Strawberry Rhubarb Jam {Vegan} american,0,3,0
2775,4911,vegan,american,Vegan Cafe Corn Chowder,27.46,269.14,100.24,vegan Vegan Cafe Corn Chowder american,2,1,3
2777,4912,vegan,american,Zesty Vegan Italian Casserole,81.37,88.44,166.22,vegan Zesty Vegan Italian Casserole american,3,3,1
2780,4913,vegan,american,Vegan Parmesan-Crusted Cauliflower Wings,56.28,65.62,90.77,vegan Vegan Parmesan-Crusted Cauliflower Wings american,3,2,3
2783,4914,vegan,american,Vegan Spinach Pinwheels Recipes,44.84,59.62,60.33,vegan Vegan Spinach Pinwheels Recipes american,3,2,2
1292,4915,vegan,asian,Simple Vegan Tofu Lasagna,129.45,317.99,86.68,vegan Simple Vegan Tofu Lasagna asian,1,1,3
1378,4916,vegan,asian,Easy Vegan Coconut Curry Noodle Bowls,24.54,181.37,107.56,vegan Easy Vegan Coconut Curry Noodle Bowls asian,2,1,3
1474,4917,vegan,asian,Cherry Tomato Zucchini Noodles,11.46,39.76,14.13,vegan Cherry Tomato Zucchini Noodles asian,0,2,0
1520,4918,vegan,asian,Roasted Veggie Mason Jar Salad,30.27,24.73,22.72,vegan Roasted Veggie Mason Jar Salad asian,2,0,0
1527,4919,vegan,asian,Low-Key Iridofu Or Scrambled Tofu With Vegetables Recipes,74.74,32.31,40.2,vegan Low-Key Iridofu Or Scrambled Tofu With Vegetables Recipes asian,3,2,2
1530,4920,vegan,asian,Tofu Salad,18.76,32.32,17.91,vegan Tofu Salad asian,2,2,0
1600,4921,vegan,asian,Vegan Bbq Teriyaki Tofu,71.0,62.88,53.38,vegan Vegan Bbq Teriyaki Tofu asian,3,2,2
1626,4922,vegan,asian,Roasted Veggie Brown Rice Buddha Bowl,29.38,45.68,19.5,vegan Roasted Veggie Brown Rice Buddha Bowl asian,2,2,0
1637,4923,vegan,asian,Satoimo (Taro Root) Cooked In Miso With Tofu Recipes,41.19,114.26,19.73,vegan Satoimo (Taro Root) Cooked In Miso With Tofu Recipes asian,2,3,0
1707,4924,vegan,asian,Vegan Pad Thai With Tofu,66.38,195.01,63.49,vegan Vegan Pad Thai With Tofu asian,3,1,2
1813,4925,vegan,asian,Vegan Dan Dan Noodles Recipe,45.41,189.76,105.4,vegan Vegan Dan Dan Noodles Recipe asian,3,1,3
1849,4926,vegan,asian,"Tofu ""Egg"" Salad",68.9,30.83,70.95,"vegan Tofu ""Egg"" Salad asian",3,2,3
1874,4927,vegan,asian,The Best Vegan Mapo Tofu Recipe,75.35,69.27,136.84,vegan The Best Vegan Mapo Tofu Recipe asian,3,2,1
1907,4928,vegan,asian,Kimchi Udon Noodle Soup,55.59,161.65,24.36,vegan Kimchi Udon Noodle Soup asian,3,3,0
1934,4929,vegan,asian,Creamy Vegan Saag Paneer (With Tofu) Recipe,50.62,81.39,62.87,vegan Creamy Vegan Saag Paneer (With Tofu) Recipe asian,3,3,2
1937,4930,vegan,asian,Flying Tofu Wedges,56.97,25.88,37.72,vegan Flying Tofu Wedges asian,3,0,2
1951,4931,vegan,asian,Barbecued Tofu Burger,66.13,259.53,41.51,vegan Barbecued Tofu Burger asian,3,1,2
1993,4932,vegan,asian,Corn Soup With Tofu Larb,88.69,267.57,77.5,vegan Corn Soup With Tofu Larb asian,1,1,3
1999,4933,vegan,asian,Stir Fried Singapore Noodles With Garlic Ginger Sauce Recipes,35.17,166.07,18.47,vegan Stir Fried Singapore Noodles With Garlic Ginger Sauce Recipes asian,2,1,0
2005,4934,vegan,asian,Light Yakisoba Noodles,26.81,120.31,35.64,vegan Light Yakisoba Noodles asian,2,3,2
2179,4935,vegan,asian,Tofu Scramble Fried Rice,33.95,117.22,28.08,vegan Tofu Scramble Fried Rice asian,2,3,0
2215,4936,vegan,asian,"""Chorizo"" Tacos From 'The Vb6 Cookbook'",92.83,143.99,76.85,"vegan ""Chorizo"" Tacos From 'The Vb6 Cookbook' asian",1,3,3
2230,4937,vegan,asian,Soondubu Jjigae (Korean Soft Tofu Stew) Recipe,131.98,56.1,190.38,vegan Soondubu Jjigae (Korean Soft Tofu Stew) Recipe asian,1,2,1
2236,4938,vegan,asian,Tofu Tacos,74.68,180.41,66.77,vegan Tofu Tacos asian,3,1,2
2243,4939,vegan,asian,Citrus Lime Tofu Salad,27.09,20.25,31.08,vegan Citrus Lime Tofu Salad asian,2,0,0
2276,4940,vegan,asian,Miso Roasted Tofu With Sweet Potato,80.17,115.44,75.36,vegan Miso Roasted Tofu With Sweet Potato asian,3,3,3
2297,4941,vegan,asian,Date And Fennel Tofu Scramble,78.01,165.29,65.14,vegan Date And Fennel Tofu Scramble asian,3,1,2
2308,4942,vegan,asian,Satay Noodle Soup,13.54,53.94,39.2,vegan Satay Noodle Soup asian,0,2,2
2322,4943,vegan,asian,Japanese Tabbouleh With Cilantro & Tofu,57.81,24.75,42.47,vegan Japanese Tabbouleh With Cilantro & Tofu asian,3,0,2
2328,4944,vegan,asian,Chilled Spicy Tahini Noodle Bowl,147.05,367.86,120.65,vegan Chilled Spicy Tahini Noodle Bowl asian,1,1,1
2350,4945,vegan,asian,Tofu Jerky,73.15,29.96,40.14,vegan Tofu Jerky asian,3,0,2
2383,4946,vegan,asian,Asian Eggplant Stir Fry,15.96,120.62,15.11,vegan Asian Eggplant Stir Fry asian,0,3,0
2397,4947,vegan,asian,Tofu Cashew Noodles With Snow Peas,132.93,276.79,137.04,vegan Tofu Cashew Noodles With Snow Peas asian,1,1,1
2404,4948,vegan,asian,Seitan & Black Bean Stir-Fry,119.84,191.43,53.95,vegan Seitan & Black Bean Stir-Fry asian,1,1,2
2427,4949,vegan,asian,Sticky Noodles With Homemade Hoisin,28.65,123.53,25.96,vegan Sticky Noodles With Homemade Hoisin asian,2,3,0
2430,4950,vegan,asian,Teriyaki Tofu Summer Rolls,71.8,259.72,28.1,vegan Teriyaki Tofu Summer Rolls asian,3,1,0
2435,4951,vegan,asian,Spice-Crusted Tofu With Kumquat Radish Salad,49.48,66.44,56.12,vegan Spice-Crusted Tofu With Kumquat Radish Salad asian,3,2,2
2455,4952,vegan,asian,Buddha Bowl With Grilled Tofu And Gluten-Free White Beer,91.78,255.89,70.28,vegan Buddha Bowl With Grilled Tofu And Gluten-Free White Beer asian,1,1,3
2463,4953,vegan,asian,Smoky Tofu Chili,69.77,135.28,48.41,vegan Smoky Tofu Chili asian,3,3,2
2476,4954,vegan,asian,Tofu Poke,72.95,157.18,65.14,vegan Tofu Poke asian,3,3,2
2483,4955,vegan,asian,Grilled Tofu With Chimichurri On Toast,91.17,111.42,160.34,vegan Grilled Tofu With Chimichurri On Toast asian,1,3,1
2484,4956,vegan,asian,Korean Stewed Tofu With A Green Onion Salad And Crisp Bacon,79.06,64.73,74.17,vegan Korean Stewed Tofu With A Green Onion Salad And Crisp Bacon asian,3,2,3
2530,4957,vegan,asian,Tofu Mexicali Scramble Recipe,63.61,154.85,64.2,vegan Tofu Mexicali Scramble Recipe asian,3,3,2
2548,4958,vegan,asian,Dinner Tonight: Caramelized Tofu With Brussels Sprouts Recipe,29.77,57.5,74.44,vegan Dinner Tonight: Caramelized Tofu With Brussels Sprouts Recipe asian,2,2,3
2554,4959,vegan,asian,Citrus Ginger Tofu Salad With Buckwheat Soba Noodles,88.65,188.32,96.04,vegan Citrus Ginger Tofu Salad With Buckwheat Soba Noodles asian,1,1,3
2575,4960,vegan,asian,Recipe: Garlicky Soba Noodle Bowls,38.89,187.15,11.12,vegan Recipe: Garlicky Soba Noodle Bowls asian,2,1,0
2591,4961,vegan,asian,"Gardein ""Chicken"" Scaloppini With Shiitake Sake Sauce, Pea Shoots, And Udon Noodle Cakes",34.07,155.84,189.14,"vegan Gardein ""Chicken"" Scaloppini With Shiitake Sake Sauce, Pea Shoots, And Udon Noodle Cakes asian",2,3,1
2616,4962,vegan,asian,Pistachio-Crusted Tofu With Red Chimichurri Recipe,69.87,99.93,149.91,vegan Pistachio-Crusted Tofu With Red Chimichurri Recipe asian,3,3,1
2651,4963,vegan,asian,Braised Eggplant With Tofu In Garlic Sauce Recipe,44.86,102.6,59.6,vegan Braised Eggplant With Tofu In Garlic Sauce Recipe asian,3,3,2
2652,4964,vegan,asian,Coconut-Mango Rice Noodle Salad,45.56,237.57,135.07,vegan Coconut-Mango Rice Noodle Salad asian,3,1,1
2659,4965,vegan,asian,Tofu Bánh Mì,88.99,201.36,131.58,vegan Tofu Bánh Mì asian,1,1,1
2660,4966,vegan,asian,Moosewood’S Classic Tofu Burgers,166.91,108.07,215.9,vegan Moosewood’S Classic Tofu Burgers asian,1,3,1
2751,4967,vegan,asian,Vegan Sweet Noodle Kugel,83.08,340.35,162.71,vegan Vegan Sweet Noodle Kugel asian,1,1,1
1484,4968,vegan,british,Vegan Yorkshire Puddings,28.33,194.44,41.45,vegan Vegan Yorkshire Puddings british,2,1,2
1510,4969,vegan,british,Vegan Rice Pudding,27.49,328.04,84.0,vegan Vegan Rice Pudding british,2,1,3
1574,4970,vegan,british,Vegan Chocolate & Pumpkin Pudding,4.65,77.96,4.75,vegan Vegan Chocolate & Pumpkin Pudding british,0,3,0
1624,4971,vegan,british,Simplest Chocolate Mousse,46.49,138.98,128.96,vegan Simplest Chocolate Mousse british,3,3,1
1828,4972,vegan,british,Spicy Pumpkin Soup,23.85,148.88,17.78,vegan Spicy Pumpkin Soup british,2,3,0
1873,4973,vegan,british,Vegan Saffron-Almond Rice Pudding Recipe,42.64,336.11,40.95,vegan Vegan Saffron-Almond Rice Pudding Recipe british,3,1,2
1906,4974,vegan,british,Repair And Recover Vegan Chia Pudding Recipes,8.47,26.41,9.87,vegan Repair And Recover Vegan Chia Pudding Recipes british,0,0,0
1914,4975,vegan,british,Vegan Sweet Potato And Pumpkin Pudding Cups,17.94,154.04,73.94,vegan Vegan Sweet Potato And Pumpkin Pudding Cups british,2,3,3
2019,4976,vegan,british,Herb And Cheese Drop Biscuits Recipes,36.3,205.92,94.25,vegan Herb And Cheese Drop Biscuits Recipes british,2,1,3
2158,4977,vegan,british,"Carrot ""Lox""",2.53,16.67,0.7,"vegan Carrot ""Lox"" british",0,0,0
2188,4978,vegan,british,Raspberry Ripple Chia Pudding,20.18,81.74,23.28,vegan Raspberry Ripple Chia Pudding british,2,3,0
2251,4979,vegan,british,Egg-Free And Dairy-Free Pumpkin Pudding,17.97,108.25,91.53,vegan Egg-Free And Dairy-Free Pumpkin Pudding british,2,3,3
2289,4980,vegan,british,Coconut Almond Chia Seed Pudding Recipe,26.13,107.65,60.6,vegan Coconut Almond Chia Seed Pudding Recipe british,2,3,2
2351,4981,vegan,british,Carrot Cake Bites,33.15,320.19,189.16,vegan Carrot Cake Bites british,2,1,1
2378,4982,vegan,british,Creamy Matcha White Chocolate Pudding,13.22,81.76,47.48,vegan Creamy Matcha White Chocolate Pudding british,0,3,2
2458,4983,vegan,british,"Tamari Roasted ""Crack"" Almonds",64.31,63.69,142.94,"vegan Tamari Roasted ""Crack"" Almonds british",3,2,1
2579,4984,vegan,british,Red Lentil Soup,62.77,197.6,24.27,vegan Red Lentil Soup british,3,1,0
2584,4985,vegan,british,Grilled Cauliflower Steaks With Almond Pesto & Butter Beans,111.57,303.83,116.4,vegan Grilled Cauliflower Steaks With Almond Pesto & Butter Beans british,1,1,3
2718,4986,vegan,british,Vegan Vanilla Pudding Recipes,3.6,162.64,33.81,vegan Vegan Vanilla Pudding Recipes british,0,3,2
1947,4987,vegan,central europe,Garlic Potato Kale Cakes,39.38,301.21,42.49,vegan Garlic Potato Kale Cakes central europe,2,1,2
2447,4988,vegan,central europe,German American Potato Salad,30.46,213.44,110.53,vegan German American Potato Salad central europe,2,1,3
1570,4989,vegan,chinese,Baby Bok Choy Salad With Mama O'S Kimchi Paste,6.02,21.02,0.95,vegan Baby Bok Choy Salad With Mama O'S Kimchi Paste chinese,0,0,0
1610,4990,vegan,chinese,Easy Brown Rice & Veggie Wrap,11.03,52.26,19.43,vegan Easy Brown Rice & Veggie Wrap chinese,0,2,0
1649,4991,vegan,chinese,Asparagus Recipes,11.74,10.23,32.11,vegan Asparagus Recipes chinese,0,0,2
1694,4992,vegan,chinese,15 Minute Cauliflower Fried Rice Recipes,40.74,57.84,43.11,vegan 15 Minute Cauliflower Fried Rice Recipes chinese,2,2,2
1698,4993,vegan,chinese,Vegan Cauliflower Fried Rice,42.07,84.73,76.58,vegan Vegan Cauliflower Fried Rice chinese,3,3,3
1917,4994,vegan,chinese,Kale + Edamame Dumplings W/ Simple Dipping Sauce Recipes,74.92,368.27,22.84,vegan Kale + Edamame Dumplings W/ Simple Dipping Sauce Recipes chinese,3,1,0
2177,4995,vegan,chinese,Sesame Stir-Fry Wrap,14.55,52.11,22.85,vegan Sesame Stir-Fry Wrap chinese,0,2,0
2299,4996,vegan,chinese,Asian Bulgur Wheat Salad,20.18,99.19,29.31,vegan Asian Bulgur Wheat Salad chinese,2,3,0
2340,4997,vegan,chinese,Cider & Honey Kohlrabi Slaw With Radicchio,11.24,94.37,47.86,vegan Cider & Honey Kohlrabi Slaw With Radicchio chinese,0,3,2
2387,4998,vegan,chinese,General Tso'S Cauliflower,26.4,58.48,52.18,vegan General Tso'S Cauliflower chinese,2,2,2
2469,4999,vegan,chinese,Rainbow Swiss Chard And Lemon Stir-Fry,29.15,167.53,51.66,vegan Rainbow Swiss Chard And Lemon Stir-Fry chinese,2,1,2
2474,5000,vegan,chinese,Best Veggie Stir Fry,46.21,246.43,202.85,vegan Best Veggie Stir Fry chinese,3,1,1
2640,5001,vegan,chinese,Sichuan-Style Braised Eggplant With Pickled Chilies And Garlic (Yu Xiang Qie Zi) Recipe,14.06,79.82,45.68,vegan Sichuan-Style Braised Eggplant With Pickled Chilies And Garlic (Yu Xiang Qie Zi) Recipe chinese,0,3,2
2645,5002,vegan,chinese,The Occasional Vegetarian'S Bibimbap,22.9,185.2,24.96,vegan The Occasional Vegetarian'S Bibimbap chinese,2,1,0
2654,5003,vegan,chinese,Recipe: Sesame Ginger Shrimp And Cabbage Stew,173.09,219.9,75.42,vegan Recipe: Sesame Ginger Shrimp And Cabbage Stew chinese,1,1,3
2664,5004,vegan,chinese,Quinoa Fried ‘Rice’,82.5,226.38,156.54,vegan Quinoa Fried ‘Rice’ chinese,1,1,1
1430,5005,vegan,eastern europe,Beluga Lentil Caviar On Blini,49.59,180.15,91.1,vegan Beluga Lentil Caviar On Blini eastern europe,3,1,3
2198,5006,vegan,eastern europe,Golden Beet Hummus,40.89,119.51,112.69,vegan Golden Beet Hummus eastern europe,2,3,3
2318,5007,vegan,eastern europe,Gluten-Free Banana Flapjacks,21.33,185.77,33.69,vegan Gluten-Free Banana Flapjacks eastern europe,2,1,2
1410,5008,vegan,french,Gluten Free Vegan Fudgy Black Bean Brownies Recipe,40.59,314.63,95.06,vegan Gluten Free Vegan Fudgy Black Bean Brownies Recipe french,2,1,3
1425,5009,vegan,french,Gluten-Free Sweet Potato Cardamom Macadamia Brownies,22.67,234.49,171.88,vegan Gluten-Free Sweet Potato Cardamom Macadamia Brownies french,2,1,1
1431,5010,vegan,french,Chocolate-Covered Matzo Bark,30.6,270.36,103.89,vegan Chocolate-Covered Matzo Bark french,2,1,3
1468,5011,vegan,french,Sweet Potato Turnovers With Sweet Kraut,18.53,340.31,95.89,vegan Sweet Potato Turnovers With Sweet Kraut french,2,1,3
1476,5012,vegan,french,Red Lentil & Sweet Potato Pâté,37.67,118.32,15.72,vegan Red Lentil & Sweet Potato Pâté french,2,3,0
1480,5013,vegan,french,Rustic Garlic And Asparagus Tofu Quiche Is A Slice Of Sunshine,16.32,119.85,87.04,vegan Rustic Garlic And Asparagus Tofu Quiche Is A Slice Of Sunshine french,0,3,3
1546,5014,vegan,french,Decadent Vegan Brownies,23.33,339.8,113.64,vegan Decadent Vegan Brownies french,2,1,3
1656,5015,vegan,french,Tomato Tart,17.48,100.57,44.06,vegan Tomato Tart french,2,3,2
1723,5016,vegan,french,Beetroot & Red Onion Tarte Tatin,47.43,319.17,232.71,vegan Beetroot & Red Onion Tarte Tatin french,3,1,1
1769,5017,vegan,french,Raspberry Mousse Recipes,39.86,167.6,36.62,vegan Raspberry Mousse Recipes french,2,1,2
1831,5018,vegan,french,Petite Quiches Three Ways,115.56,354.44,204.12,vegan Petite Quiches Three Ways french,1,1,1
1834,5019,vegan,french,Baked Eggplant Fries Recipe,61.99,238.33,30.15,vegan Baked Eggplant Fries Recipe french,3,1,0
1870,5020,vegan,french,"Celeriac, Hazelnut & Truffle Soup",52.69,168.76,110.68,"vegan Celeriac, Hazelnut & Truffle Soup french",3,1,3
1876,5021,vegan,french,Eggless Salad,42.76,30.02,25.53,vegan Eggless Salad french,3,0,0
1893,5022,vegan,french,Bean & Halloumi Stew,54.94,133.87,72.08,vegan Bean & Halloumi Stew french,3,3,3
1894,5023,vegan,french,Yellow Split-Pea Soup,113.42,313.22,12.41,vegan Yellow Split-Pea Soup french,1,1,0
1911,5024,vegan,french,Shiny Happy Poppers,32.06,200.02,115.51,vegan Shiny Happy Poppers french,2,1,3
1958,5025,vegan,french,Dark Chocolate Cherry Walnut Truffles Recipes,29.78,210.49,152.54,vegan Dark Chocolate Cherry Walnut Truffles Recipes french,2,1,1
1964,5026,vegan,french,Red Lentil Soup With Lime,53.51,161.56,19.46,vegan Red Lentil Soup With Lime french,3,3,0
2011,5027,vegan,french,Seared Maitake Mushrooms Recipes,13.6,57.03,197.0,vegan Seared Maitake Mushrooms Recipes french,0,2,1
2024,5028,vegan,french,Seared Maitake Mushrooms,13.34,55.4,196.91,vegan Seared Maitake Mushrooms french,0,2,1
2026,5029,vegan,french,Zucchini Gratin,48.89,133.58,108.22,vegan Zucchini Gratin french,3,3,3
2073,5030,vegan,french,Fernanda Capobianco’S Pissaladière With Vegetables And Olives,43.32,292.33,229.46,vegan Fernanda Capobianco’S Pissaladière With Vegetables And Olives french,3,1,1
2108,5031,vegan,french,20 Minute Apple Turnovers,10.46,194.67,32.94,vegan 20 Minute Apple Turnovers french,0,1,2
2135,5032,vegan,french,Yellow Split Pea Soup Recipes,122.34,325.46,68.41,vegan Yellow Split Pea Soup Recipes french,1,1,3
2154,5033,vegan,french,Beetroot Tart Tatin,26.4,161.98,184.31,vegan Beetroot Tart Tatin french,2,3,1
2156,5034,vegan,french,Warm Couscous Salad W/ Olives + Pine Nuts,46.78,201.6,85.61,vegan Warm Couscous Salad W/ Olives + Pine Nuts french,3,1,3
2162,5035,vegan,french,Rich Chocolate Ganache Topping Recipe,5.78,103.65,34.42,vegan Rich Chocolate Ganache Topping Recipe french,0,3,2
2167,5036,vegan,french,Raspberry Sorbet,6.64,265.07,3.42,vegan Raspberry Sorbet french,0,1,0
2199,5037,vegan,french,Eggplant Arrabbiata,65.83,370.1,76.85,vegan Eggplant Arrabbiata french,3,1,3
2201,5038,vegan,french,Cashew “Hollandaise”,6.59,13.61,42.48,vegan Cashew “Hollandaise” french,0,0,2
2216,5039,vegan,french,Parsnip And Chestnut Bisque,14.41,225.76,55.78,vegan Parsnip And Chestnut Bisque french,0,1,2
2229,5040,vegan,french,Parsnip Gnocchi,48.6,271.55,78.89,vegan Parsnip Gnocchi french,3,1,3
2249,5041,vegan,french,Beet Tartare,27.2,108.07,62.82,vegan Beet Tartare french,2,3,2
2252,5042,vegan,french,Spaghetti With A Creamy Zucchini & Mint Sauce,38.17,194.22,12.32,vegan Spaghetti With A Creamy Zucchini & Mint Sauce french,2,1,0
2266,5043,vegan,french,Aubergine & Chickpea Bites,60.56,259.79,59.97,vegan Aubergine & Chickpea Bites french,3,1,2
2275,5044,vegan,french,Raspberry-Banana Sorbet,10.18,107.83,4.89,vegan Raspberry-Banana Sorbet french,0,3,0
2280,5045,vegan,french,Sautéed Spinach,14.23,19.32,10.81,vegan Sautéed Spinach french,0,0,0
2301,5046,vegan,french,"Tomato, Fennel, And Crab Soup",76.04,175.31,101.06,"vegan Tomato, Fennel, And Crab Soup french",3,1,3
2309,5047,vegan,french,Raw Chocolate Ganache Cake,42.13,240.67,153.62,vegan Raw Chocolate Ganache Cake french,3,1,1
2326,5048,vegan,french,Cook The Book: Brussels Sprout-Potato Hash,18.46,110.8,10.42,vegan Cook The Book: Brussels Sprout-Potato Hash french,2,3,0
2336,5049,vegan,french,Egyptian Courgettes With Dukkah Sprinkle,61.46,188.94,43.4,vegan Egyptian Courgettes With Dukkah Sprinkle french,3,1,2
2353,5050,vegan,french,"Roast Chicken Dinner Potato Chips With Mushrooms, Lemon, And Thyme Recipe",24.46,16.85,1.91,"vegan Roast Chicken Dinner Potato Chips With Mushrooms, Lemon, And Thyme Recipe french",2,0,0
2355,5051,vegan,french,Hearty Lentil One Pot,84.58,333.89,48.88,vegan Hearty Lentil One Pot french,1,1,2
2365,5052,vegan,french,"Crispy Potato, Onion, And Mushroom Rösti Recipe",12.68,80.54,68.43,"vegan Crispy Potato, Onion, And Mushroom Rösti Recipe french",0,3,3
2391,5053,vegan,french,Hearty White Bean And Spinach Soup With Rosemary And Garlic Recipe,38.21,121.5,56.68,vegan Hearty White Bean And Spinach Soup With Rosemary And Garlic Recipe french,2,3,2
2440,5054,vegan,french,Healthy & Delicious: Herb-Scalloped Potatoes Recipe,44.55,169.93,17.37,vegan Healthy & Delicious: Herb-Scalloped Potatoes Recipe french,3,1,0
2454,5055,vegan,french,Whipped Frozen Pink Lemonade,6.45,137.75,48.82,vegan Whipped Frozen Pink Lemonade french,0,3,2
2456,5056,vegan,french,Stewed Chickpeas And Chard Over Garlic Toast,59.12,224.37,60.29,vegan Stewed Chickpeas And Chard Over Garlic Toast french,3,1,2
2515,5057,vegan,french,Make-Ahead Zucchini And Quinoa Dill Bisque Recipe,36.29,102.42,28.8,vegan Make-Ahead Zucchini And Quinoa Dill Bisque Recipe french,2,3,0
2517,5058,vegan,french,Slow-Cooker Creamy Butternut Squash-Apple Soup,17.22,204.62,24.8,vegan Slow-Cooker Creamy Butternut Squash-Apple Soup french,0,1,0
2518,5059,vegan,french,Potato Salad With Parsley Pesto,24.8,160.68,133.13,vegan Potato Salad With Parsley Pesto french,2,3,1
2540,5060,vegan,french,'Clean Start': Chewy Chocolate Macaroons Recipe,23.58,248.33,174.13,vegan 'Clean Start': Chewy Chocolate Macaroons Recipe french,2,1,1
2541,5061,vegan,french,"Zucchini, Almond, And Mint Soup With Lemony Lentils",70.76,141.49,112.43,"vegan Zucchini, Almond, And Mint Soup With Lemony Lentils french",3,3,3
2563,5062,vegan,french,Sweet Potato Soup With Crispy Tortilla Topping,92.0,316.83,126.56,vegan Sweet Potato Soup With Crispy Tortilla Topping french,1,1,1
2568,5063,vegan,french,Spring Vegetarian Cassoulet,32.57,148.59,123.4,vegan Spring Vegetarian Cassoulet french,2,3,1
2572,5064,vegan,french,French Toast With Blueberry Compote,58.55,366.33,222.47,vegan French Toast With Blueberry Compote french,3,1,1
2597,5065,vegan,french,Flat-Belly Soup,42.63,188.44,28.24,vegan Flat-Belly Soup french,3,1,0
2624,5066,vegan,french,"Healthy And Delicious: Shredded Beet, Apple, And Currant Salad With Apple Vinaigrette Recipe",8.36,137.62,28.48,"vegan Healthy And Delicious: Shredded Beet, Apple, And Currant Salad With Apple Vinaigrette Recipe french",0,3,0
2638,5067,vegan,french,French Lentil And Arugula Salad With Herbed Cashew Cheese,175.8,371.72,229.85,vegan French Lentil And Arugula Salad With Herbed Cashew Cheese french,1,1,1
2761,5068,vegan,french,Vegan Chanterelle Quiche,43.26,200.51,30.65,vegan Vegan Chanterelle Quiche french,3,1,0
2776,5069,vegan,french,Easy Vegan Brownies,39.69,294.28,191.92,vegan Easy Vegan Brownies french,2,1,1
2782,5070,vegan,french,Fudgy Vegan Brownies,28.65,364.77,168.68,vegan Fudgy Vegan Brownies french,2,1,1
1584,5071,vegan,indian,Vegan Palak Paneer,69.07,87.68,64.8,vegan Vegan Palak Paneer indian,3,3,2
1612,5072,vegan,indian,Vegan Kaju Matar Masala | Vegan Cashew And Green Peas Curry,39.11,104.85,97.12,vegan Vegan Kaju Matar Masala | Vegan Cashew And Green Peas Curry indian,2,3,3
1859,5073,vegan,indian,Aromatic Coconut Rice Recipes,35.06,342.77,69.42,vegan Aromatic Coconut Rice Recipes indian,2,1,3
1891,5074,vegan,indian,Mango Rice With Mustard,18.61,178.66,51.56,vegan Mango Rice With Mustard indian,2,1,2
1903,5075,vegan,indian,Papadums With Whipped Dal,55.86,135.98,58.81,vegan Papadums With Whipped Dal indian,3,3,2
2046,5076,vegan,indian,Aloo Gobi,26.33,176.83,12.93,vegan Aloo Gobi indian,2,1,0
2055,5077,vegan,indian,Curried Carrot Ginger Soup,27.43,175.59,121.69,vegan Curried Carrot Ginger Soup indian,2,1,1
2099,5078,vegan,indian,Curried Chickpea Sandwich,81.73,310.6,118.26,vegan Curried Chickpea Sandwich indian,1,1,1
2129,5079,vegan,indian,Cozy Yellow Curry Vegetable Soup,46.9,136.01,90.04,vegan Cozy Yellow Curry Vegetable Soup indian,3,3,3
2161,5080,vegan,indian,Coconut Chutney,11.96,48.23,47.49,vegan Coconut Chutney indian,0,2,2
2206,5081,vegan,indian,Spinach & Chickpea Curry,70.74,222.0,26.18,vegan Spinach & Chickpea Curry indian,3,1,0
2255,5082,vegan,indian,Veggie Sandwich,9.87,48.35,10.98,vegan Veggie Sandwich indian,0,2,0
2269,5083,vegan,indian,Sweet Potato & Cauliflower Lentil Bowl,66.52,222.82,47.41,vegan Sweet Potato & Cauliflower Lentil Bowl indian,3,1,2
2270,5084,vegan,indian,Summertime Lentil Salad With Mango,15.05,51.05,17.71,vegan Summertime Lentil Salad With Mango indian,0,2,0
2293,5085,vegan,indian,West Indian Spiced Aubergine Curry,11.25,69.45,15.4,vegan West Indian Spiced Aubergine Curry indian,0,2,0
2294,5086,vegan,indian,Roasted Aubergine & Tomato Curry,20.68,90.56,125.12,vegan Roasted Aubergine & Tomato Curry indian,2,3,1
2295,5087,vegan,indian,"Cauliflower, Squash, Coconut & Lentil Curry",77.02,241.44,118.3,"vegan Cauliflower, Squash, Coconut & Lentil Curry indian",3,1,1
